"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","213.14","212.99","215.27","212.08","10.91M","-0.02%"
"May 11, 2020","213.18","210.54","215.00","210.49","12.91M","0.39%"
"May 08, 2020","212.35","212.24","213.21","210.85","12.52M","0.52%"
"May 07, 2020","211.26","211.16","211.60","209.04","14.98M","1.34%"
"May 06, 2020","208.47","208.01","211.58","206.71","21.86M","0.68%"
"May 05, 2020","207.07","207.01","210.36","206.50","21.07M","0.88%"
"May 04, 2020","205.26","200.20","205.83","198.78","19.25M","1.48%"
"May 01, 2020","202.27","201.60","207.28","199.05","30.42M","-1.19%"
"Apr 30, 2020","204.71","207.00","208.84","201.61","46.23M","5.42%"
"Apr 29, 2020","194.19","190.99","196.89","190.04","45.95M","6.17%"
"Apr 28, 2020","182.91","188.92","189.08","182.57","21.73M","-2.45%"
"Apr 27, 2020","187.50","192.64","193.74","187.45","29.20M","-1.35%"
"Apr 24, 2020","190.07","183.23","190.41","180.82","28.87M","2.67%"
"Apr 23, 2020","185.13","183.83","186.98","183.16","21.43M","1.56%"
"Apr 22, 2020","182.28","178.57","184.75","178.14","33.37M","6.72%"
"Apr 21, 2020","170.80","175.25","175.30","168.38","24.85M","-4.17%"
"Apr 20, 2020","178.24","177.55","180.46","176.85","16.11M","-0.56%"
"Apr 17, 2020","179.24","179.20","180.27","176.66","20.97M","1.70%"
"Apr 16, 2020","176.25","177.95","178.05","172.51","23.59M","-0.41%"
"Apr 15, 2020","176.97","175.12","178.16","172.89","17.42M","-0.67%"
"Apr 14, 2020","178.17","178.75","181.20","176.63","21.01M","1.93%"
"Apr 13, 2020","174.79","173.67","174.99","169.46","19.36M","-0.23%"
"Apr 09, 2020","175.19","175.68","177.05","171.69","23.53M","0.52%"
"Apr 08, 2020","174.28","172.12","174.92","167.80","21.66M","3.23%"
"Apr 07, 2020","168.83","171.29","173.35","166.03","31.41M","1.98%"
"Apr 06, 2020","165.55","160.31","166.14","158.71","28.45M","7.37%"
"Apr 03, 2020","154.18","157.30","157.89","150.86","25.98M","-2.53%"
"Apr 02, 2020","158.19","159.09","161.35","155.97","20.89M","-0.88%"
"Apr 01, 2020","159.60","161.48","164.01","158.07","19.51M","-4.32%"
"Mar 31, 2020","166.80","165.95","170.90","164.34","23.68M","0.51%"
"Mar 30, 2020","165.95","159.30","166.72","158.12","22.52M","5.84%"
"Mar 27, 2020","156.79","157.84","160.00","154.81","24.88M","-4.01%"
"Mar 26, 2020","163.34","158.25","163.85","157.11","26.58M","4.56%"
"Mar 25, 2020","156.21","158.64","162.99","153.12","35.18M","-2.96%"
"Mar 24, 2020","160.98","155.25","160.98","152.63","30.44M","8.70%"
"Mar 23, 2020","148.10","149.59","152.31","142.92","29.83M","-1.09%"
"Mar 20, 2020","149.73","156.02","159.27","148.00","32.57M","-2.22%"
"Mar 19, 2020","153.13","146.30","159.91","144.85","39.86M","4.20%"
"Mar 18, 2020","146.96","140.00","148.01","137.18","37.55M","-1.65%"
"Mar 17, 2020","149.42","150.74","153.94","140.00","34.26M","2.34%"
"Mar 16, 2020","146.01","152.32","159.13","143.10","39.12M","-14.25%"
"Mar 13, 2020","170.28","163.53","170.79","157.60","35.03M","10.23%"
"Mar 12, 2020","154.47","159.54","166.60","154.34","43.27M","-9.26%"
"Mar 11, 2020","170.24","174.01","175.88","167.66","20.40M","-4.46%"
"Mar 10, 2020","178.19","174.67","178.29","169.50","24.52M","5.13%"
"Mar 09, 2020","169.50","169.60","175.00","165.19","29.95M","-6.40%"
"Mar 06, 2020","181.09","178.33","183.78","176.26","24.56M","-2.20%"
"Mar 05, 2020","185.17","186.78","188.99","183.89","19.33M","-3.44%"
"Mar 04, 2020","191.76","189.17","191.83","186.39","23.06M","3.16%"
"Mar 03, 2020","185.89","196.22","197.24","183.97","27.98M","-5.37%"
"Mar 02, 2020","196.44","194.03","196.57","188.85","24.95M","2.06%"
"Feb 28, 2020","192.47","182.69","192.74","181.82","32.58M","1.43%"
"Feb 27, 2020","189.75","191.82","195.88","189.50","21.68M","-3.78%"
"Feb 26, 2020","197.20","197.19","201.21","195.49","16.56M","0.22%"
"Feb 25, 2020","196.77","202.25","203.50","195.95","21.43M","-1.97%"
"Feb 24, 2020","200.72","201.80","203.65","198.17","23.08M","-4.50%"
"Feb 21, 2020","210.18","213.48","214.24","208.83","14.10M","-2.05%"
"Feb 20, 2020","214.58","216.52","218.76","212.94","13.11M","-1.34%"
"Feb 19, 2020","217.49","217.99","218.32","216.11","12.14M","-0.14%"
"Feb 18, 2020","217.80","213.55","217.97","213.40","15.63M","1.69%"
"Feb 14, 2020","214.18","214.00","214.93","212.65","10.74M","0.49%"
"Feb 13, 2020","213.14","209.52","214.33","209.18","15.40M","1.13%"
"Feb 12, 2020","210.76","207.85","211.22","207.40","13.81M","1.72%"
"Feb 11, 2020","207.19","210.19","210.86","206.51","25.03M","-2.76%"
"Feb 10, 2020","213.06","211.52","213.80","210.66","11.86M","0.34%"
"Feb 07, 2020","212.33","210.30","212.82","209.93","12.24M","0.70%"
"Feb 06, 2020","210.85","210.47","211.19","209.34","10.57M","0.35%"
"Feb 05, 2020","210.11","212.51","212.73","208.71","12.54M","0.13%"
"Feb 04, 2020","209.83","206.62","210.60","205.20","19.63M","2.76%"
"Feb 03, 2020","204.19","203.44","205.14","202.50","15.51M","1.13%"
"Jan 31, 2020","201.91","208.43","208.69","201.06","31.36M","-3.64%"
"Jan 30, 2020","209.53","206.53","211.43","204.75","48.78M","-6.14%"
"Jan 29, 2020","223.23","221.44","224.20","218.45","33.61M","2.50%"
"Jan 28, 2020","217.79","216.14","218.74","213.52","13.41M","1.36%"
"Jan 27, 2020","214.87","213.10","216.06","212.50","13.81M","-1.41%"
"Jan 24, 2020","217.94","220.80","221.78","216.11","11.91M","-0.83%"
"Jan 23, 2020","219.76","220.75","221.49","219.27","11.20M","-0.70%"
"Jan 22, 2020","221.32","222.31","222.75","221.28","12.21M","-0.05%"
"Jan 21, 2020","221.44","222.16","222.37","219.12","14.28M","-0.32%"
"Jan 17, 2020","222.14","222.03","222.29","220.53","15.91M","0.17%"
"Jan 16, 2020","221.77","222.57","222.63","220.39","10.02M","0.28%"
"Jan 15, 2020","221.15","220.61","221.68","220.14","10.04M","0.95%"
"Jan 14, 2020","219.06","221.61","222.38","218.63","13.32M","-1.28%"
"Jan 13, 2020","221.91","219.60","221.97","219.21","14.49M","1.77%"
"Jan 10, 2020","218.06","219.20","219.88","217.42","12.13M","-0.11%"
"Jan 09, 2020","218.30","217.54","218.38","216.28","12.68M","1.43%"
"Jan 08, 2020","215.22","213.00","216.24","212.61","13.49M","1.01%"
"Jan 07, 2020","213.06","212.82","214.58","211.75","15.11M","0.22%"
"Jan 06, 2020","212.60","206.70","212.78","206.52","17.07M","1.88%"
"Jan 03, 2020","208.67","207.21","210.40","206.95","11.20M","-0.53%"
"Jan 02, 2020","209.78","206.75","209.79","206.27","12.09M","2.21%"
"Dec 31, 2019","205.25","204.00","205.56","203.60","8.96M","0.41%"
"Dec 30, 2019","204.41","207.86","207.90","203.90","10.53M","-1.77%"
"Dec 27, 2019","208.10","208.67","208.93","206.59","10.29M","0.15%"
"Dec 26, 2019","207.79","205.57","207.82","205.31","9.37M","1.30%"
"Dec 24, 2019","205.12","206.30","206.79","205.00","6.05M","-0.51%"
"Dec 23, 2019","206.18","206.70","208.59","205.68","13.35M","-0.06%"
"Dec 20, 2019","206.30","207.48","207.71","203.43","27.32M","0.12%"
"Dec 19, 2019","206.06","202.78","206.30","202.51","16.81M","1.76%"
"Dec 18, 2019","202.50","200.09","204.30","200.09","23.28M","2.07%"
"Dec 17, 2019","198.39","198.84","199.00","196.13","10.18M","0.24%"
"Dec 16, 2019","197.92","195.27","199.12","194.81","14.92M","1.96%"
"Dec 13, 2019","194.11","196.40","196.80","193.17","18.81M","-1.34%"
"Dec 12, 2019","196.75","202.35","203.66","194.10","23.77M","-2.72%"
"Dec 11, 2019","202.26","200.28","202.63","200.28","8.04M","0.69%"
"Dec 10, 2019","200.87","201.66","202.05","200.15","9.49M","-0.23%"
"Dec 09, 2019","201.34","200.65","203.14","200.21","12.01M","0.14%"
"Dec 06, 2019","201.05","200.50","201.57","200.06","12.28M","0.85%"
"Dec 05, 2019","199.36","199.86","201.29","198.21","9.76M","0.33%"
"Dec 04, 2019","198.71","200.00","200.03","198.05","8.46M","-0.06%"
"Dec 03, 2019","198.82","197.60","198.93","195.08","13.01M","-0.44%"
"Dec 02, 2019","199.70","202.13","202.18","198.05","11.54M","-0.96%"
"Nov 29, 2019","201.64","201.60","203.80","201.21","7.99M","-0.18%"
"Nov 27, 2019","202.00","199.90","203.14","199.42","12.76M","1.52%"
"Nov 26, 2019","198.97","200.00","200.15","198.04","11.75M","-0.41%"
"Nov 25, 2019","199.79","199.51","200.97","199.25","15.29M","0.49%"
"Nov 22, 2019","198.82","198.38","199.30","197.62","9.96M","0.45%"
"Nov 21, 2019","197.93","197.42","199.09","196.86","12.13M","0.21%"
