"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Apr-2020","EQ","843.00","844.00","810.00","829.65","811.00","813.85","825.26","2,503.30","738.75",17499063,"14,441,317,976.20",392455
"01-Apr-2020","EQ","863.85","863.85","820.00","861.90","829.55","829.65","831.99","2,503.30","738.75",14551758,"12,106,933,301.25",354947
"31-Mar-2020","EQ","853.80","873.60","838.00","831.65","857.95","861.90","854.73","2,503.30","738.75",17605997,"15,048,445,041.15",411360
"30-Mar-2020","EQ","880.00","887.00","828.00","904.45","831.00","831.65","858.48","2,503.30","738.75",19634313,"16,855,655,095.40",491743
"27-Mar-2020","EQ","944.95","988.65","872.10","901.10","900.00","904.45","923.14","2,503.30","738.75",27619436,"25,496,667,368.35",651440
"26-Mar-2020","EQ","870.10","937.70","841.00","856.75","898.00","901.10","898.62","2,503.30","738.75",28521681,"25,630,140,172.80",627160
"25-Mar-2020","EQ","770.45","867.45","755.25","767.70","863.00","856.75","803.92","2,503.30","738.75",23614449,"18,984,055,133.70",608039
"24-Mar-2020","EQ","795.25","810.00","738.75","771.55","774.80","767.70","775.82","2,503.30","738.75",30528676,"23,684,712,047.25",634897
"23-Mar-2020","EQ","794.60","838.75","765.00","882.85","778.90","771.55","784.50","2,503.30","765.00",25142273,"19,724,138,348.90",590210
"20-Mar-2020","EQ","875.00","914.60","824.55","895.55","881.25","882.85","868.05","2,503.30","795.00",44319015,"38,471,082,495.00",790631
"19-Mar-2020","EQ","847.00","919.95","795.00","876.90","904.60","895.55","857.03","2,503.30","795.00",33610239,"28,805,078,999.25",632617
"18-Mar-2020","EQ","985.00","993.00","865.00","975.10","898.50","876.90","916.25","2,503.30","865.00",30593809,"28,031,432,118.60",652391
"17-Mar-2020","EQ","1,008.00","1,010.00","954.70","999.50","976.20","975.10","982.62","2,503.30","919.20",21338641,"20,967,841,371.15",447922
"16-Mar-2020","EQ","1,035.00","1,037.00","995.00","1,069.80","1,001.25","999.50","1,013.09","2,503.30","919.20",15993174,"16,202,484,604.30",430742
"13-Mar-2020","EQ","980.05","1,081.45","919.20","1,021.30","1,074.00","1,069.80","1,018.30","2,503.30","919.20",33171603,"33,778,614,285.40",541649
"12-Mar-2020","EQ","1,075.00","1,080.00","1,003.45","1,113.80","1,032.00","1,021.30","1,036.26","2,503.30","1,003.45",29500406,"30,570,004,192.95",503472
"11-Mar-2020","EQ","1,105.00","1,120.00","1,092.00","1,107.30","1,110.00","1,113.80","1,105.77","2,503.30","1,065.00",17769198,"19,648,640,086.25",344285
"09-Mar-2020","EQ","1,110.00","1,118.40","1,065.00","1,134.90","1,112.00","1,107.30","1,094.80","2,503.30","1,065.00",17210297,"18,841,871,874.25",427518
"06-Mar-2020","EQ","1,125.00","1,140.90","1,101.00","1,151.35","1,134.00","1,134.90","1,124.34","2,503.30","1,084.00",11526783,"12,959,999,027.40",272373
"05-Mar-2020","EQ","1,153.00","1,165.00","1,142.75","1,148.85","1,149.00","1,151.35","1,155.77","2,503.30","1,084.00",9774854,"11,297,450,389.35",262470
